Adair, MO, 6019, 3495, 623
Andrew, MO, 6665, 2045, 430
Atchison, MO, 2059, 541, 123
Audrain, MO, 6981, 2567, 495
Barry, MO, 11427, 2710, 467
Barton, MO, 4958, 795, 179
Bates, MO, 6000, 1617, 404
Benton, MO, 7212, 2024, 348
Bollinger, MO, 4827, 705, 137
Boone, MO, 36146, 41072, 6094
Buchanan, MO, 21315, 12010, 2238
Butler, MO, 13647, 3036, 549
Caldwell, MO, 3231, 837, 241
Callaway, MO, 13052, 4988, 1087
Camden, MO, 16721, 4706, 755
Cape Girardeau, MO, 26939, 8468, 1468
Carroll, MO, 3480, 745, 136
Carter, MO, 2323, 436, 83
Cass, MO, 33006, 14816, 2893
Cedar, MO, 5019, 1010, 249
Chariton, MO, 2948, 888, 126
Christian, MO, 30941, 8505, 1948
Clark, MO, 2458, 724, 134
Clay, MO, 57328, 45182, 6727
Clinton, MO, 7058, 2572, 567
Cole, MO, 24610, 10907, 1744
Cooper, MO, 5623, 1932, 421
Crawford, MO, 7724, 1824, 372
Dade, MO, 3184, 637, 130
Dallas, MO, 5895, 1271, 274
Daviess, MO, 2763, 730, 196
DeKalb, MO, 3540, 824, 226
Dent, MO, 5599, 978, 201
Douglas, MO, 5486, 984, 194
Dunklin, MO, 8026, 2360, 188
Franklin, MO, 35420, 12339, 2286
Gasconade, MO, 5670, 1519, 255
Gentry, MO, 2304, 605, 124
Greene, MO, 77387, 42400, 7822
Grundy, MO, 3462, 780, 171
Harrison, MO, 2965, 574, 143
Henry, MO, 7072, 2356, 427
Hickory, MO, 3539, 1016, 162
Holt, MO, 1926, 346, 76
Howard, MO, 3277, 1279, 295
Howell, MO, 13888, 2880, 647
Iron, MO, 3173, 933, 154
Jackson, MO, 114777, 163723, 15563
Jasper, MO, 35058, 10565, 2556
Jefferson, MO, 68973, 31546, 5450
Johnson, MO, 13702, 5924, 1461
Knox, MO, 1413, 379, 75
Laclede, MO, 12834, 2543, 582
Lafayette, MO, 10977, 4047, 791
Lawrence, MO, 13084, 2898, 692
Lewis, MO, 3343, 933, 176
Lincoln, MO, 18111, 5561, 1185
Linn, MO, 4084, 1239, 249
Livingston, MO, 4879, 1265, 264
Macon, MO, 5794, 1518, 267
Madison, MO, 4102, 1005, 211
Maries, MO, 3559, 794, 145
Marion, MO, 9418, 2993, 491
McDonald, MO, 6599, 1329, 305
Mercer, MO, 1486, 216, 37
Miller, MO, 9285, 1750, 379
Mississippi, MO, 3600, 1458, 107
Moniteau, MO, 5344, 1237, 227
Monroe, MO, 3159, 853, 135
Montgomery, MO, 4124, 1118, 182
Morgan, MO, 6757, 1768, 290
New Madrid, MO, 5270, 1933, 149
Newton, MO, 20546, 4988, 972
Nodaway, MO, 6379, 2529, 531
Oregon, MO, 3668, 865, 131
Osage, MO, 5845, 998, 235
Ozark, MO, 3639, 724, 138
Pemiscot, MO, 3964, 1946, 115
Perry, MO, 6907, 1520, 305
Pettis, MO, 12792, 4322, 931
Phelps, MO, 12699, 4761, 1039
Pike, MO, 5274, 1806, 295
Platte, MO, 24975, 18915, 2751
Polk, MO, 10435, 2630, 644
Pulaski, MO, 9870, 2918, 655
Putnam, MO, 1936, 352, 54
Ralls, MO, 3969, 1138, 159
Randolph, MO, 7529, 2283, 497
Ray, MO, 7103, 3088, 644
Reynolds, MO, 2402, 540, 90
Ripley, MO, 4520, 830, 168
Saline, MO, 5977, 2787, 481
Schuyler, MO, 1505, 354, 74
Scotland, MO, 1525, 365, 78
Scott, MO, 13168, 3574, 502
Shannon, MO, 2966, 776, 162
Shelby, MO, 2524, 606, 122
St. Charles, MO, 120899, 68225, 10389
St. Clair, MO, 3501, 936, 193
St. Francois, MO, 17467, 6250, 997
St. Louis, MO, 199081, 280866, 23546
St. Louis city, MO, 20281, 101487, 5635
Ste. Genevieve, MO, 5495, 2540, 424
Stoddard, MO, 11077, 1873, 328
Stone, MO, 13149, 2886, 503
Sullivan, MO, 1884, 526, 74
Taney, MO, 18240, 4367, 792
Texas, MO, 8875, 1728, 332
Vernon, MO, 6526, 1706, 344
Warren, MO, 11109, 3915, 742
Washington, MO, 7047, 1926, 306
Wayne, MO, 4640, 946, 152
Webster, MO, 12829, 3173, 688
Worth, MO, 808, 195, 43
Wright, MO, 6703, 1166, 217
