Adams, MS, 5125, 6921, 168
Alcorn, MS, 11817, 2684, 280
Amite, MS, 4282, 2688, 63
Attala, MS, 4288, 2847, 107
Benton, MS, 2240, 1713, 43
Bolivar, MS, 4251, 8410, 170
Calhoun, MS, 4360, 1884, 95
Carroll, MS, 3774, 1648, 48
Chickasaw, MS, 4127, 3649, 114
Choctaw, MS, 2763, 1198, 59
Claiborne, MS, 414, 2523, 17
Clarke, MS, 5088, 2556, 69
Clay, MS, 4136, 5695, 129
Coahoma, MS, 2426, 6378, 108
Copiah, MS, 5576, 6203, 127
Covington, MS, 5423, 3267, 100
DeSoto, MS, 42155, 19892, 1975
Forrest, MS, 15149, 11271, 864
Franklin, MS, 2685, 1471, 63
George, MS, 8652, 1013, 166
Greene, MS, 4309, 956, 60
Grenada, MS, 5940, 4386, 116
Hancock, MS, 13720, 3320, 477
Harrison, MS, 39710, 20679, 1687
Hinds, MS, 24919, 64922, 1695
Holmes, MS, 1151, 5820, 74
Humphreys, MS, 924, 2652, 23
Issaquena, MS, 298, 395, 6
Itawamba, MS, 8385, 1100, 149
Jackson, MS, 31204, 13087, 1174
Jasper, MS, 4032, 4367, 69
Jefferson, MS, 489, 3337, 33
Jefferson Davis, MS, 2466, 3720, 51
Jones, MS, 20076, 7748, 426
Kemper, MS, 1778, 2827, 34
Lafayette, MS, 10872, 7968, 802
Lamar, MS, 18493, 5044, 642
Lauderdale, MS, 17574, 10910, 483
Lawrence, MS, 4072, 2181, 76
Leake, MS, 4775, 3579, 82
Lee, MS, 21695, 9635, 644
Leflore, MS, 2757, 6677, 132
Lincoln, MS, 10550, 4458, 185
Lowndes, MS, 13124, 11545, 470
Madison, MS, 25607, 18358, 1083
Marion, MS, 7697, 3572, 174
Marshall, MS, 6525, 7944, 229
Monroe, MS, 10107, 5485, 189
Montgomery, MS, 2334, 1775, 53
Neshoba, MS, 7613, 2668, 157
Newton, MS, 5929, 2549, 116
Noxubee, MS, 1181, 4330, 27
Oktibbeha, MS, 7671, 7851, 629
Panola, MS, 7371, 7300, 183
Pearl River, MS, 15530, 2919, 444
Perry, MS, 4135, 1220, 77
Pike, MS, 7748, 7636, 249
Pontotoc, MS, 9442, 2123, 246
Prentiss, MS, 7647, 2067, 157
Quitman, MS, 998, 2303, 52
Rankin, MS, 46168, 13741, 1447
Scott, MS, 5742, 3999, 126
Sharkey, MS, 619, 1290, 17
Simpson, MS, 7393, 3871, 152
Smith, MS, 5877, 1598, 81
Stone, MS, 4810, 1400, 158
Sunflower, MS, 2768, 6560, 78
Tallahatchie, MS, 2462, 3337, 71
Tate, MS, 7385, 3804, 200
Tippah, MS, 7182, 1808, 153
Tishomingo, MS, 7117, 990, 203
Tunica, MS, 840, 2577, 46
Union, MS, 9161, 1969, 244
Walthall, MS, 3374, 2475, 60
Warren, MS, 9420, 8518, 349
Washington, MS, 4541, 9847, 183
Wayne, MS, 5957, 3493, 84
Webster, MS, 3949, 1001, 74
Wilkinson, MS, 1305, 2826, 43
Winston, MS, 4874, 3778, 119
Yalobusha, MS, 3366, 2574, 118
Yazoo, MS, 4568, 5221, 103
