Adams, PA, 31249, 14077, 1812
Allegheny, PA, 257488, 363017, 22668
Armstrong, PA, 22676, 6849, 921
Beaver, PA, 46081, 30225, 2730
Bedford, PA, 19455, 3613, 436
Berks, PA, 93094, 75169, 7671
Blair, PA, 37224, 13093, 1712
Bradford, PA, 17957, 6263, 1179
Bucks, PA, 163873, 165861, 12838
Butler, PA, 61388, 26834, 3805
Cambria, PA, 40510, 17798, 1859
Cameron, PA, 1495, 469, 60
Carbon, PA, 18714, 8917, 1090
Centre, PA, 35099, 36555, 3740
Chester, PA, 115582, 140188, 10867
Clarion, PA, 12545, 4256, 680
Clearfield, PA, 23909, 7700, 1083
Clinton, PA, 9701, 4533, 605
Columbia, PA, 17387, 8502, 1238
Crawford, PA, 23912, 10215, 1436
Cumberland, PA, 65649, 44282, 5137
Dauphin, PA, 60620, 64287, 5253
Delaware, PA, 106559, 169169, 9104
Elk, PA, 9704, 3637, 513
Erie, PA, 57168, 54820, 5252
Fayette, PA, 34388, 17826, 1212
Forest, PA, 1680, 626, 92
Franklin, PA, 49554, 17322, 2469
Fulton, PA, 5676, 904, 163
Greene, PA, 10394, 4157, 404
Huntingdon, PA, 14369, 4487, 640
Indiana, PA, 24920, 11468, 1340
Jefferson, PA, 14533, 3437, 581
Juniata, PA, 8234, 1810, 358
Lackawanna, PA, 48102, 51593, 3045
Lancaster, PA, 137145, 90066, 11940
Lawrence, PA, 25323, 13933, 1299
Lebanon, PA, 38804, 17860, 2242
Lehigh, PA, 70285, 77087, 5659
Luzerne, PA, 77508, 51454, 3769
Lycoming, PA, 35475, 12926, 1893
McKean, PA, 11159, 3802, 611
Mercer, PA, 30034, 17631, 1929
Mifflin, PA, 14050, 3563, 626
Monroe, PA, 31706, 31930, 2308
Montgomery, PA, 160803, 251063, 15623
Montour, PA, 5274, 2851, 410
Northampton, PA, 71384, 65936, 5455
Northumberland, PA, 24418, 9184, 1369
Perry, PA, 15613, 4630, 910
Philadelphia, PA, 105418, 560542, 14267
Pike, PA, 16035, 9247, 784
Potter, PA, 6247, 1300, 230
Schuylkill, PA, 43937, 16724, 2089
Snyder, PA, 11710, 3991, 632
Somerset, PA, 27347, 7367, 1016
Sullivan, PA, 2318, 756, 94
Susquehanna, PA, 13295, 5065, 840
Tioga, PA, 12928, 3642, 764
Union, PA, 10605, 6138, 657
Venango, PA, 15254, 5889, 953
Warren, PA, 12032, 4828, 764
Washington, PA, 58941, 34436, 3568
Wayne, PA, 15269, 6398, 698
Westmoreland, PA, 116427, 59506, 5807
Wyoming, PA, 8375, 3573, 470
York, PA, 126933, 67428, 8792
